t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
5.3254,2,7,2,1,201.00,648.33,capture,228.13,604.25,51.76,1,179.687,4.370,179.487,-13.38,25.90,146.92,-13.53,-3.75,171.98,55.226,55.260,-34.6821,-1.6691,228.13,604.25,-34.0859,-1.3451,,,0.24255,0
5.4275,2,7,2,1,201.00,648.33,capture,238.41,563.97,92.28,1,179.592,4.264,179.300,-13.54,25.87,147.26,-13.61,-3.57,172.68,54.145,55.907,-33.4582,-0.0852,238.41,563.97,-33.8106,-0.6777,,,0.24179,0
5.5245,2,7,2,1,201.00,648.33,capture,219.42,582.86,68.02,1,-179.853,4.154,178.953,-13.52,25.90,147.51,-13.65,-3.80,172.87,54.399,55.057,-33.6226,-2.1787,219.42,582.86,-33.7218,-1.6370,,,0.24166,0
5.6235,2,7,2,1,201.00,648.33,capture,235.20,568.65,86.72,1,179.972,4.175,178.955,-13.44,25.88,147.61,-13.32,-3.68,172.96,54.256,55.291,-33.2749,-1.6752,235.20,568.65,-33.4757,-1.6595,,,0.25776,0
5.7245,2,7,2,1,201.00,648.33,capture,241.77,586.98,73.66,1,179.445,4.097,179.411,-13.48,25.94,147.83,-13.44,-3.62,173.28,54.694,53.769,-34.2295,-0.2970,241.77,586.98,-33.8715,-0.8427,,,0.24564,0
5.8252,2,7,2,1,201.00,648.33,capture,224.35,604.04,50.07,1,179.881,4.176,179.280,-13.47,25.90,147.65,-13.57,-3.58,173.11,54.027,55.389,-34.5420,-1.8120,224.35,604.04,-34.2781,-1.3583,,,0.24948,0
5.9253,2,7,2,1,201.00,648.33,capture,218.99,589.53,61.50,1,178.686,4.238,179.528,-13.62,25.86,147.69,-13.61,-3.63,173.17,54.859,55.042,-34.1148,-0.9000,218.99,589.53,-34.1928,-1.1395,,,0.24705,0
6.0257,3,1,0,1,201.00,129.67,dwell,259.14,566.37,440.55,0,179.643,4.167,178.901,-13.62,25.86,147.73,-13.58,-3.88,173.21,55.245,54.673,-32.7999,-0.3861,259.14,566.37,-33.3094,-0.6880,,,0.24256,0
6.1260,3,1,0,1,201.00,129.67,dwell,217.72,597.45,468.08,0,179.668,4.240,179.398,-13.59,25.87,147.33,-13.69,-3.73,172.75,54.097,54.346,-34.4925,-1.7383,217.72,597.45,-33.9456,-1.2602,,,0.22266,0
6.2266,3,1,0,1,201.00,129.67,dwell,220.64,566.06,436.83,0,179.890,4.109,179.719,-13.56,25.88,147.29,-13.42,-3.43,172.65,55.349,54.083,-33.0900,-2.2274,220.64,566.06,-33.4725,-1.8883,,,0.22990,0
6.3262,3,1,0,1,201.00,129.67,dwell,212.13,465.42,335.94,0,179.612,4.158,178.910,-13.57,25.82,147.32,-13.65,-3.70,172.67,53.547,55.123,-29.2733,-1.9224,212.13,465.42,-30.0236,-1.9085,,,0.20932,0
6.4267,3,1,0,1,201.00,129.67,dwell,238.18,396.91,269.82,0,-179.941,4.215,179.263,-13.41,25.86,147.02,-13.56,-3.60,172.13,55.015,54.891,-27.0991,-0.1668,238.18,396.91,-27.5405,-0.7866,,,0.19776,0
6.5278,3,1,0,1,201.00,129.67,dwell,235.35,311.46,185.01,0,179.451,4.376,179.540,-13.44,25.87,147.02,-13.34,-3.64,172.25,54.330,55.024,-23.5120,-0.4242,235.35,311.46,-24.0034,-0.5575,,,0.22792,0
6.6298,3,1,0,1,201.00,129.67,dwell,220.79,270.32,142.04,0,179.833,4.394,179.967,-13.34,25.88,147.14,-13.53,-3.67,172.46,54.391,54.939,-22.8296,-1.6168,220.79,270.32,-23.0039,-1.1101,,,0.20972,0
6.7291,3,1,0,1,201.00,129.67,dwell,211.23,234.38,105.21,1,179.750,4.433,178.594,-13.21,25.89,147.03,-13.35,-3.59,172.12,54.303,54.854,-20.7288,-1.7611,211.23,234.38,-21.0710,-1.4998,,,0.22661,0
6.8289,3,1,0,1,201.00,129.67,dwell,214.07,194.53,66.17,1,179.991,4.354,179.558,-13.14,25.89,146.99,-13.04,-3.60,172.07,55.843,54.843,-19.2731,-2.1091,214.07,194.53,-19.5584,-1.8857,,,0.21499,0
6.9286,3,1,0,1,201.00,129.67,dwell,207.19,226.29,96.82,1,179.755,4.248,179.633,-13.18,25.85,147.19,-13.16,-3.85,172.58,54.514,55.093,-20.7197,-2.5779,207.19,226.29,-20.3938,-2.3422,,,0.22855,0
7.0284,3,1,0,1,201.00,129.67,dwell,197.46,130.20,3.58,1,179.494,4.183,179.488,-13.22,25.80,146.69,-13.30,-3.86,171.86,54.806,55.384,-16.7465,-3.1962,197.46,130.20,-17.3587,-2.9298,,,0.24868,0
7.1274,3,1,0,1,201.00,129.67,capture,214.90,189.94,61.85,1,179.679,4.238,178.845,-13.22,25.78,146.53,-13.05,-3.73,171.89,54.227,54.938,-19.1905,-2.2913,214.90,189.94,-18.5300,-2.5958,,,0.24532,0
7.2255,3,1,0,1,201.00,129.67,capture,213.75,161.13,33.95,1,179.677,4.245,179.611,-13.08,25.82,146.74,-13.09,-3.80,171.75,55.364,54.777,-17.6638,-2.4950,213.75,161.13,-17.9436,-2.5489,,,0.24827,0
